,Company size,Total views,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total),Industry,Total followers,Job function,Sponsored followers,Organic followers,Seniority,Location,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
0,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2-10,2768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-50,2402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,51-200,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,201-500,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,501-1000,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001-5000,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5001-10000,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10001+,6088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,05/03/2021,380.0,167.0,15.0,24.0,2.0,11.0,0.1368421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,05/04/2021,497.0,224.0,53.0,25.0,5.0,8.0,0.1830985915492957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,05/05/2021,762.0,363.0,51.0,36.0,1.0,6.0,0.1233595800524934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,05/06/2021,482.0,230.0,31.0,7.0,0.0,2.0,0.0829875518672199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,05/07/2021,720.0,324.0,45.0,23.0,5.0,4.0,0.1069444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,05/08/2021,714.0,354.0,31.0,24.0,1.0,5.0,0.0854341736694677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,05/09/2021,452.0,199.0,13.0,6.0,0.0,3.0,0.0486725663716814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,05/10/2021,736.0,227.0,43.0,12.0,0.0,7.0,0.0842391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,05/11/2021,292.0,128.0,32.0,9.0,0.0,4.0,0.1541095890410959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,05/12/2021,349.0,161.0,16.0,10.0,0.0,1.0,0.0773638968481375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,05/13/2021,305.0,134.0,22.0,5.0,2.0,0.0,0.0950819672131147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,05/14/2021,1265.0,368.0,109.0,13.0,3.0,2.0,0.100395256916996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,05/15/2021,1570.0,689.0,106.0,32.0,1.0,5.0,0.0917197452229299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,05/16/2021,1717.0,615.0,163.0,34.0,1.0,2.0,0.11648223645894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,05/17/2021,1999.0,665.0,229.0,48.0,6.0,2.0,0.1425712856428214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,05/18/2021,3594.0,1310.0,407.0,57.0,2.0,0.0,0.1296605453533667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,05/19/2021,4987.0,2097.0,845.0,82.0,3.0,3.0,0.187086424704231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,05/20/2021,4196.0,1564.0,788.0,59.0,1.0,4.0,0.2030505243088655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
