,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total)
268,11/24/2021,450,219,173,3,1,0,0.3933333333333333
269,11/25/2021,377,192,152,2,0,0,0.40848806366047746
270,11/26/2021,290,148,119,1,0,0,0.41379310344827586
271,11/27/2021,250,107,67,5,0,0,0.288
272,11/28/2021,235,116,42,3,0,0,0.19148936170212766
273,11/29/2021,419,122,186,0,1,0,0.44630071599045346
274,11/30/2021,277,115,106,2,1,0,0.3935018050541516
275,12/01/2021,361,127,129,1,0,0,0.3601108033240997
276,12/02/2021,271,110,27,2,0,0,0.1070110701107011
277,12/03/2021,301,68,122,0,0,0,0.4053156146179402
278,12/04/2021,462,211,36,8,1,0,0.09740259740259741
279,12/05/2021,352,106,30,3,0,0,0.09375
280,12/06/2021,121,50,12,1,0,0,0.10743801652892562
281,12/07/2021,1675,680,181,31,4,10,0.13492537313432837
282,12/08/2021,589,188,82,6,1,1,0.15280135823429541
283,12/09/2021,477,102,64,17,1,0,0.1719077568134172
284,12/10/2021,255,55,57,2,0,1,0.23529411764705882
285,12/11/2021,208,57,22,2,0,0,0.11538461538461539
286,12/12/2021,128,36,8,1,0,0,0.0703125
287,12/13/2021,774,374,29,14,2,8,0.06847545219638243
288,12/14/2021,307,103,111,6,2,0,0.38762214983713356
289,12/15/2021,95,53,4,1,0,0,0.05263157894736842
290,12/16/2021,1816,1001,181,29,6,4,0.1211453744493392
291,12/17/2021,392,183,46,3,0,0,0.125
292,12/18/2021,223,86,15,2,0,1,0.08071748878923767
293,12/19/2021,1383,700,905,25,3,3,0.6767895878524945
294,12/20/2021,975,518,392,17,1,1,0.42153846153846153
295,12/21/2021,617,159,419,5,0,0,0.6871961102106969
296,12/22/2021,1362,637,248,23,3,3,0.20337738619676946
297,12/23/2021,579,190,173,9,0,0,0.3143350604490501
298,12/24/2021,1132,595,178,35,4,3,0.19434628975265017
299,12/25/2021,687,422,45,9,2,0,0.08151382823871907
300,12/26/2021,730,372,70,17,2,5,0.12876712328767123
301,12/27/2021,443,234,102,6,0,1,0.24604966139954854
